,Job,Specialization,Company,Location,Date_posted
0,Business Development Executive,Sales / Business Development,TeamAce,Lagos,"23rd December, 2020"
1,Telesales Analyst ,Sales / Business Development,TeamAce,Lagos,"23rd December, 2020"
2,Personal Assistant (Female),Secretarial / PA,Willers Solutions Limited,Lagos,"23rd December, 2020"
3,Procurement Executive,Procurement/ Purchasing,a reputable company,Lagos,"23rd December, 2020"
4,Nursery 1 Teacher,Education / Teaching / Training,Standard Bearers School (SBS),Lagos,"23rd December, 2020"
5,Research Analyst,Research / Survey,Asset and Equity Group,Lagos,"23rd December, 2020"
6,Business Development Assistant (Corper),Sales / Business Development,Avant Halogen,Lagos,"23rd December, 2020"
7,Driver,Driving / Haulage,Asset and Equity Group,Lagos,"23rd December, 2020"
8,Solar Power Solution Manager,Engineering / Technical,Huawei Technologies Limited,Lagos,"23rd December, 2020"
10,Maintenance Engineer,Engineering / Technical,Veepee Group Limited,Ogun,"23rd December, 2020"
11,Sales Associate,Sales / Business Development,McPeniel Associate,Abuja,"23rd December, 2020"
12,Accountant,Accounting / Audit / Finance,Amagbuz Venture,Kwara,"23rd December, 2020"
13,Warehouse Manager,Supply Chain/ Store,Chemonics International,Abuja,"23rd December, 2020"
14,Sales Manager,Sales / Business Development,MainOne Cable,Lagos,"23rd December, 2020"
15,Nail Technician,"Creatives (Arts, Design, Fashion)",Prestigious Consulting,Lagos,"23rd December, 2020"
16,Dialysis / Nephrology Nurse,Medical/ Healthcare / Pharmaceutical,Marigold Hospital and Critical Care Center,Lagos,"23rd December, 2020"
17,Sales Manager,Sales / Business Development,Elkris Agro Development Nigeria Limited,Edo,"23rd December, 2020"
18,MPBN Engineer,Engineering / Technical,MacTay Consulting,Lagos,"23rd December, 2020"
19,Human Resources Manager,Human Resources / Recruitment,Nairametrics,Lagos,"23rd December, 2020"
20,Accounts Assistant - Payables,Accounting / Audit / Finance,Fenix,Lagos,"23rd December, 2020"
21,Packaging Unit Manager,Engineering / Technical,AB InBev,Osun,"23rd December, 2020"
22,Solar Energy Promoter,Engineering / Technical,D.light Energy Limited,Edo,"23rd December, 2020"
23,Driver,Driving / Haulage,Management Sciences for Health (MSH),Benue,"23rd December, 2020"
24,Human Resources Assistant,Human Resources / Recruitment,Premiere Urgence Internationale (PUI),Borno,"23rd December, 2020"
25,Nurse,Medical/ Healthcare / Pharmaceutical,Premiere Urgence Internationale (PUI),Borno,"23rd December, 2020"
26,Personal Assistant,Secretarial / PA,Nicole Sinclair,Lagos,"23rd December, 2020"
27,Software / App Developer,Software/ Programming / Web development,Stacksoft Limited,Lagos,"23rd December, 2020"
28,Customer Service Representative,Customer Service,Kolo Express,Oyo,"23rd December, 2020"
29,Blogger / Social Media Manager,Advertising/ Social Media/ Marketing/ PR,Creatrix Empire,Lagos,"23rd December, 2020"
30,Receptionist,Administration/ Office/ Operations,Kolo Express,Oyo,"23rd December, 2020"
31,Business & Channel Development Officer,Sales / Business Development,Beebeejump,Bayelsa,"23rd December, 2020"
32,Loan / Credit Officer,Accounting / Audit / Finance,Rich-Oak,Lagos,"23rd December, 2020"
33,Accountant,Accounting / Audit / Finance,Eden Solution and Resources Ltd.,Abuja,"23rd December, 2020"
34,Dispatch Rider,Logistics / Transportation/ Supply,Pearlskyline Logistics,Lagos,"23rd December, 2020"
36,Customer Service Officer,Customer Service,Madas Finance,Lagos,"22nd December, 2020"
37,Marketing / Loan Officer,Accounting / Audit / Finance,Okazi Finance Limited,Lagos,"22nd December, 2020"
38,Stock Accountant,Supply Chain/ Store,Kloverharris Limited,Ogun,"22nd December, 2020"
39,Social Media Specialist,Advertising/ Social Media/ Marketing/ PR,HRLeverage,Lagos,"22nd December, 2020"
41,Sales and Marketing Executive,Advertising/ Social Media/ Marketing/ PR,Adady Global Industries Limited,Lagos,"22nd December, 2020"
42,Mechanical Instructor,Education / Teaching / Training,AETI,Lagos,"22nd December, 2020"
43,Graphics Executive,"Creatives (Arts, Design, Fashion)",HRLeverage,Lagos,"22nd December, 2020"
44,Admin / HR Executive,Administration/ Office/ Operations,HRLeverage,Lagos,"22nd December, 2020"
45,Security Engineer,Engineering / Technical,eProcess Consulting Limited,Lagos,"22nd December, 2020"
46,Estate Assistant,Real Estate / Property / Surveying,Olutoyi Estate Development and Services Limited,Lagos,"22nd December, 2020"
47,Retail Store Manager,Supply Chain/ Store,Owens and Xley Consults,Lagos,"22nd December, 2020"
48,Automation Assistant,Engineering / Technical,Owens and Xley Consults,Lagos,"22nd December, 2020"
49,Marketing Officer,Advertising/ Social Media/ Marketing/ PR,Morris Royal Limited,Lagos,"22nd December, 2020"
50,Storekeeper,Supply Chain/ Store,Bukkha Hospitality Limited,Lagos,"22nd December, 2020"
51,Office Manager,Administration/ Office/ Operations,Kolo Express,Oyo,"22nd December, 2020"
52,Business Manager,Sales / Business Development,Olam Nigeria Limited,Abuja,"22nd December, 2020"
53,Head of Sales,Sales / Business Development,A4&T Power Solutions,Lagos,"22nd December, 2020"
54,Executive Assistant,Administration/ Office/ Operations,Nuach Consulting,Abuja,"22nd December, 2020"
55,Medical Sales Representative,Sales / Business Development,Global Oneword Healthcare Limited,Imo,"22nd December, 2020"
56,Senior HR Officer,Human Resources / Recruitment,Idmibok International (360 HSDC),Abuja,"22nd December, 2020"
57,Dispatch Rider,Logistics / Transportation/ Supply,Mileage Courier Services,Lagos,"22nd December, 2020"
59,Marketer,Advertising/ Social Media/ Marketing/ PR,Madas Finance,Lagos,"22nd December, 2020"
60,Female Accountant,Accounting / Audit / Finance,Tenaui Africa Limited,Lagos,"22nd December, 2020"
61,Sales Executive,Sales / Business Development,Mutual Benefits Assurance Plc,Lagos,"22nd December, 2020"
62,Property Officer,Real Estate / Property / Surveying,Alpha Mead Facilities,Lagos,"22nd December, 2020"
63,General / Operations Manager,Executive / Management,Owens and Xley Consults,Lagos,"22nd December, 2020"
64,Accountant,Accounting / Audit / Finance,a reputable company,Lagos,"22nd December, 2020"
65,Marketing Executive,Advertising/ Social Media/ Marketing/ PR,Mutual Benefits Assurance Plc,Osun,"22nd December, 2020"
66,Production Supervisor,Manufacturing / Production,Lorache Group,Ogun,"22nd December, 2020"
67,Compliance Manager,Risk Management / Compliance,Sifax Group,Lagos,"22nd December, 2020"
68,Business Development Manager,Sales / Business Development,Eden Solution and Resources Ltd.,Abuja,"22nd December, 2020"
69,Operation Officer,Project Management,Morris Royal Limited,Lagos,"22nd December, 2020"
70,Technical Assistance / Personal Assistant,Administration/ Office/ Operations,Tekniteed Nigeria Limited,Lagos,"22nd December, 2020"
71,Security Officer,Security / Intelligence,Wan West Security Systems Limited,Lagos,"22nd December, 2020"
72,Full Stack Developer,Software/ Programming / Web development,Asset and Equity Group,Lagos,"22nd December, 2020"
73,Fleet Officer,Logistics / Transportation/ Supply,TABS Logistics,Lagos,"22nd December, 2020"
74,Business Executive,Sales / Business Development,Adron Homes and Properties Limited,Niger,"22nd December, 2020"
75,Farm Accountant,Accounting / Audit / Finance,a reputable company,Imo,"22nd December, 2020"
76,Realtor / Marketer,Advertising/ Social Media/ Marketing/ PR,Pyrafield Homes Limited,Lagos,"22nd December, 2020"
77,Internal Sales Representative,Sales / Business Development,Mantrac,Lagos,"22nd December, 2020"
78,Driver,Driving / Haulage,Fosad Consulting,Abuja,"22nd December, 2020"
79,Brand Promoter,Advertising/ Social Media/ Marketing/ PR,Conglomerate Associate Nigeria Limited,Lagos,"22nd December, 2020"
80,Theater Nurse,Medical/ Healthcare / Pharmaceutical,Abuja Clinics,Abuja,"22nd December, 2020"
81,Terminal / Station Assistant,Logistics / Transportation/ Supply,Transport Services Limited,Lagos,"22nd December, 2020"
82,Head of Compliance,Risk Management / Compliance,PricewaterhouseCooper (PwC),Lagos,"22nd December, 2020"
86,Territory Sales Manager,Sales / Business Development,Willers Solutions Limited,Lagos,"22nd December, 2020"
87,Finance & Accounts Officer,Accounting / Audit / Finance,a reputable Oil and Gas company,Rivers (PH),"22nd December, 2020"
88,Filling Station Accountant,Accounting / Audit / Finance,a reputable Oil and Gas company,Rivers (PH),"22nd December, 2020"
89,Marketing Officer,Advertising/ Social Media/ Marketing/ PR,ARM Life Plc,Lagos,"22nd December, 2020"
91,Data Analyst,Analyst/ Quality Control,First Choice Leasing Limited,Lagos,"22nd December, 2020"
92,Secretary,Administration/ Office/ Operations,First Choice Leasing Limited,Lagos,"22nd December, 2020"
93,IT Specialist,Information Technology / ICT,Olutoyi Estate Development and Services Limited,Lagos,"22nd December, 2020"
94,Sales Officer,Sales / Business Development,Olutoyi Estate Development and Services Limited,Lagos,"22nd December, 2020"
96,Graphics and Creative Designer,Information Technology / ICT,Baynet Fuse Limited,Lagos,"21st December, 2020"
97,Art and Music Instructor,Education / Teaching / Training,synapse services,Abuja,"21st December, 2020"
99,Teller / Loan Officer,Banking / Insurance,Gemstone Financial Services Limited,Plateau,"21st December, 2020"
100,Baker,Hospitality / Food Services,Bukkha Hospitality Limited,Lagos,"21st December, 2020"
101,Finance Manager,Accounting / Audit / Finance,Emily Karah,Lagos,"21st December, 2020"
102,Waiter / Waitress,Hospitality / Food Services,Box Residence Hotel & Apartment,Lagos,"21st December, 2020"
103,Java / .Net Developer,Software/ Programming / Web development,Growth in Value Alliance,Lagos,"21st December, 2020"
104,Secretary,Administration/ Office/ Operations,Emily Karah,Lagos,"21st December, 2020"
105,Part-time / Freelance Lawyer,Legal / Law,Mahabir Industries & Allied Works Pvt. Limited,Abuja,"21st December, 2020"
106,Mechanical Supervisor,Engineering / Technical,DexNova,Rivers (PH),"21st December, 2020"
107,Administrative / Office Manager,Administration/ Office/ Operations,Sunrose Consulting Limited,Abuja,"21st December, 2020"
108,Operation Officer,Project Management,Vincintore Limited,Lagos,"21st December, 2020"
109,Marketing / Business Development Executive,Advertising/ Social Media/ Marketing/ PR,Jordan Brooke Estates,Lagos,"21st December, 2020"
110,Dispatch Rider,Logistics / Transportation/ Supply,Vincintore Limited,Lagos,"21st December, 2020"
111,Medical Sales Representative,Medical/ Healthcare / Pharmaceutical,DKT INTERNATIONAL,Kaduna,"21st December, 2020"
112,Social Media Executive,Advertising/ Social Media/ Marketing/ PR,Vasiti Dotcom,Lagos,"21st December, 2020"
113,Marketing Manager,Advertising/ Social Media/ Marketing/ PR,Lorache Group,Lagos,"21st December, 2020"
114,Account Officer,Accounting / Audit / Finance,Lorache Group,Abuja,"21st December, 2020"
115,Business Development Manager,Sales / Business Development,Beebeejump,Bayelsa,"21st December, 2020"
116,Production Supervisor,Manufacturing / Production,Proten International,Ogun,"21st December, 2020"
117,Online Sales Coordinator,Sales / Business Development,Nard Pharmacy & Stores Limited,Lagos,"21st December, 2020"
118,Content Creator,Advertising/ Social Media/ Marketing/ PR,Tekniteed Nigeria Limited,Lagos,"21st December, 2020"
119,Field Sales Executive,Sales / Business Development,Beebeejump,Akwa ibom,"21st December, 2020"
120,Logistics Manager,Logistics / Transportation/ Supply,ROYAL TOUCH INTEGRATED RESOURCES LTD,Lagos,"21st December, 2020"
121,Quality Control Officer,Analyst/ Quality Control,ROYAL TOUCH INTEGRATED RESOURCES LTD,Lagos,"21st December, 2020"
122,Financial Accountant,Accounting / Audit / Finance,a reputable company,Lagos,"21st December, 2020"
123,"Laptop, UPS and Printers Engineer",Engineering / Technical,Coniah Systems Support Limited,Lagos,"21st December, 2020"
125,IT Technical Support Officer,Information Technology / ICT,TippyToes Kidcare,Abuja,"21st December, 2020"
126,Pharmacist,Medical/ Healthcare / Pharmaceutical,Elduke Ventures,Rivers (PH),"21st December, 2020"
127,Assistant Sales & Marketing Officer,Advertising/ Social Media/ Marketing/ PR,Merit Telecoms Nigeria Limited,Lagos,"21st December, 2020"
128,Junior IT Support Staff,Information Technology / ICT,Hotel Bon Voyage,Lagos,"21st December, 2020"
130,Direct Sales Agent,Sales / Business Development,Altara Credit Limited,Oyo,"21st December, 2020"
131,Chartered Accountant,Accounting / Audit / Finance,Aeti Power Systems and Controls Limited,Lagos,"21st December, 2020"
133,Internal Security Officer,Security / Intelligence,Hubmart Stores Limited,Lagos,"21st December, 2020"
134,Female Sales Representative,Sales / Business Development,Saint Flairs Awards Ltd,Lagos,"21st December, 2020"
135,Quality Control Officer,Analyst/ Quality Control,Proten International,Lagos,"21st December, 2020"
136,Driver,Driving / Haulage,Revolutions Consulting and Environmental Services,Lagos,"21st December, 2020"
137,HR / Admin Manager (FinTech),Administration/ Office/ Operations,Don Quester Consulting,Lagos,"21st December, 2020"
138,Graphic Artist,Information Technology / ICT,Vtpass.com,Lagos,"21st December, 2020"
139,Personal Driver,Driving / Haulage,Proten International,Lagos,"21st December, 2020"
140,Store Keeper,Supply Chain/ Store,Proten International,Lagos,"21st December, 2020"
142,Procurement Officer,Procurement/ Purchasing,Proten International,Lagos,"21st December, 2020"
143,Customer Service Officer (Logistics),Customer Service,Quicky Dispatch International,Lagos,"21st December, 2020"
144,Senior Human Resources Officer,Human Resources / Recruitment,Nicole Sinclair,Lagos,"21st December, 2020"
145,Clinical Psychologist,Medical/ Healthcare / Pharmaceutical,The Olive Prime Psychological Services,Lagos,"21st December, 2020"
146,Operations Officer,Project Management,Quicky Dispatch International,Lagos,"21st December, 2020"
147,Car Driver,Driving / Haulage,Recore Limited,Oyo,"21st December, 2020"
148,Account Officer,Accounting / Audit / Finance,Aeti Power Systems and Controls Limited,Lagos,"21st December, 2020"
149,Warehouse Manager,Supply Chain/ Store,The People Impact Company,Abuja,"21st December, 2020"
150,Business Development Officer,Sales / Business Development,RodNorth Nigeria Limited,Lagos,"21st December, 2020"
151,Risk and Audit Executive,Risk Management / Compliance,Courierplus Services Limited,Lagos,"21st December, 2020"
153,"Head, IT / Business Innovation",Information Technology / ICT,Vincintore Limited,Lagos,"21st December, 2020"
154,Digital Marketing Executive,Advertising/ Social Media/ Marketing/ PR,Greenswealth Corporate Services Limited,Lagos,"21st December, 2020"
155,Secretary,Administration/ Office/ Operations,Morayo Lebi & Co.,Lagos,"19th December, 2020"
156,Legal Officer,Legal / Law,a reputable Oil and Gas company,Lagos,"19th December, 2020"
157,Accountant,Accounting / Audit / Finance,Top Nas Business Ventures,Lagos,"19th December, 2020"
159,Internal Auditor,Accounting / Audit / Finance,CoralPay Technology (Nig) Limited,Lagos,"19th December, 2020"
160,Finance Manager,Accounting / Audit / Finance,Chemonics International,Abuja,"19th December, 2020"
161,Marketer,Advertising/ Social Media/ Marketing/ PR,Top Nas Business Ventures,Lagos,"19th December, 2020"
162,Network Administrator,Engineering / Technical,CoralPay Technology (Nig) Limited,Lagos,"19th December, 2020"
163,Night Auditor,Accounting / Audit / Finance,Morgan Omonitan & Abe Limited,Lagos,"19th December, 2020"
164,Business Development Manager,Sales / Business Development,Save the Children,Abuja,"19th December, 2020"
165,Financial Planner,Accounting / Audit / Finance,NSIA Insurance,Lagos,"19th December, 2020"
166,Solution Architect,Telecommunications,Ericsson Nigeria,Lagos,"19th December, 2020"
167,Plant Manager,Engineering / Technical,Adexen Recruitment Agency,Lagos,"19th December, 2020"
168,General Manager,Executive / Management,Adexen Recruitment Agency,Lagos,"19th December, 2020"
169,Sales Representative,Sales / Business Development,a reputable company,Lagos,"19th December, 2020"
170,Key Account Manager,Accounting / Audit / Finance,a reputable company,Abuja,"19th December, 2020"
171,Bakery Products Finishing Officer,Hospitality / Food Services,Invent Alliance Limited,Lagos,"19th December, 2020"
172,Production Manager,Manufacturing / Production,a reputable company,Lagos,"19th December, 2020"
173,Head of Academics (HOA),Education / Teaching / Training,Padoserve Limited,Rivers (PH),"19th December, 2020"
174,Investment Associate,Accounting / Audit / Finance,Oxford Providence Jasmine Partners,Lagos,"19th December, 2020"
176,Floor Sales Representative,Sales / Business Development,Altara Credit Limited,Oyo,"19th December, 2020"
177,Recovery Agent,Accounting / Audit / Finance,Altara Credit Limited,Oyo,"19th December, 2020"
178,Operations / Factory Manager,Project Management,Candor Consulting,Oyo,"19th December, 2020"
179,Data Analyst / Processor,Analyst/ Quality Control,UnoCasa Limited,Lagos,"19th December, 2020"
180,Perioperative Nurse,Medical/ Healthcare / Pharmaceutical,PEARLDROPS HEALTHCARE STAFFING,Lagos,"19th December, 2020"
181,Mathematics Instructor,Education / Teaching / Training,Dominion Consulting Nigeria,Lagos,"19th December, 2020"
182,Hotel Cleaner,Domestic / Janitorial Services,GreyStone Consulting Limited,Lagos,"19th December, 2020"
183,Account Officer,Accounting / Audit / Finance,Myrtle Management Consultants,Lagos,"19th December, 2020"
185,Customer Support Specialist,Customer Service,Bolt,Lagos,"18th December, 2020"
186,Receptionist,Administration/ Office/ Operations,Emily Karah,Lagos,"18th December, 2020"
187,Marketing Associate,Advertising/ Social Media/ Marketing/ PR,Workforce Group,Lagos,"18th December, 2020"
188,Graduate Medical Representative,Medical/ Healthcare / Pharmaceutical,Sanofi Nigeria,Lagos,"18th December, 2020"
189,Human Resources Generalist,Human Resources / Recruitment,BAO Systems,Abuja,"18th December, 2020"
190,Engineer,Engineering / Technical,Lateejay Nigeria Limited,Abuja,"18th December, 2020"
191,Business Manager,Sales / Business Development,Leads Legacy School,Lagos,"18th December, 2020"
192,Senior Software Engineer (Python / Django),Engineering / Technical,Rebasive Technologies,Lagos,"18th December, 2020"
193,Lead Data Scientist,Information Technology / ICT,Signal Alliance,Lagos,"18th December, 2020"
194,Lawyer,Legal / Law,Lex Artifex LLP,Abuja,"18th December, 2020"
195,Senior Front End Developer,Software/ Programming / Web development,Techie Planet Limited,Lagos,"18th December, 2020"
196,FullStack Web Developer (React Native),Software/ Programming / Web development,AFTJ Digital Marketing,Lagos,"18th December, 2020"
197,Security Assistant,Security / Intelligence,Redline Logistics Nigeria Limited,Lagos,"18th December, 2020"
198,Bakery Sales Driver,Driving / Haulage,Invent Alliance Limited,Lagos,"18th December, 2020"
199,Offshore Heat Exchanger Superintendent,Engineering / Technical,SPIE Oil & Gas,Lagos,"18th December, 2020"
201,Health and Safety Officer,HSE / Safety Management,Snail Rearing and Agro Products Limited,Lagos,"18th December, 2020"
202,Trainee Customer Executive,Customer Service,Laundryspecial,Lagos,"18th December, 2020"
203,Sales Representative,Sales / Business Development,TIJMAF INNOVATION SERVICES,Lagos,"18th December, 2020"
204,Electrical Engineer,Engineering / Technical,HHH-Technology Limited,Lagos,"18th December, 2020"
205,Graduate Admin / Accounts Officer,Accounting / Audit / Finance,Kreativ Finance,Lagos,"18th December, 2020"
206,Furniture Designer,Building Design / Architecture,Firat Building Materials,Abuja,"18th December, 2020"
207,UI / UX Designer,Software/ Programming / Web development,ByteWorks Technology Solutions,Abuja,"18th December, 2020"
208,Advertising Manager,Advertising/ Social Media/ Marketing/ PR,TIJMAF INNOVATION SERVICES,Lagos,"18th December, 2020"
209,Software Developer / Software Engineer,Software/ Programming / Web development,ByteWorks Technology Solutions,Abuja,"18th December, 2020"
210,Human Resources Officer,Human Resources / Recruitment,Global Oneword Healthcare Limited,Lagos,"18th December, 2020"
211,Automation Engineer,Engineering / Technical,Seven Up Bottling Company,Lagos,"18th December, 2020"
212,Sales Executive,Sales / Business Development,Aureole Consulting,Rivers (PH),"18th December, 2020"
213,Bartender,Hospitality / Food Services,Aureole Consulting,Rivers (PH),"18th December, 2020"
214,Receptionist,Administration/ Office/ Operations,Creativity Unisex Salon,Lagos,"18th December, 2020"
215,Marketing Manager,Advertising/ Social Media/ Marketing/ PR,Creativity Unisex Salon,Lagos,"18th December, 2020"
216,Cylinder Technician / Expert,Technicians,S.Lloyd Limited,Lagos,"18th December, 2020"
217,Store Manager,Supply Chain/ Store,Food and Confectionery,Kaduna,"18th December, 2020"
218,Marketing Officer,Advertising/ Social Media/ Marketing/ PR,Eden Solution and Resources Ltd.,Abuja,"18th December, 2020"
219,Travel Service Manager,Logistics / Transportation/ Supply,De Raph City Travel and Tour,Lagos,"18th December, 2020"
220,Accounting Officer,Accounting / Audit / Finance,Geymay Industries Limited,Imo,"18th December, 2020"
222,Customer Service Representative,Customer Service,Bethsaida Group of Companies,Lagos,"18th December, 2020"
223,Full-stack Developer,Software/ Programming / Web development,Seven Up Bottling Company,Lagos,"18th December, 2020"
224,Business Development / Ecommerce Strategist,Sales / Business Development,ICT CART LIMITED,Lagos,"18th December, 2020"
226,Business Development Manager,Sales / Business Development,Chibeco Oil and Gas,Rivers (PH),"18th December, 2020"
227,Experienced Chartered Accountant,Accounting / Audit / Finance,Chibeco Oil and Gas,Rivers (PH),"18th December, 2020"
228,Mechanical Engineer,Engineering / Technical,Geymay Industries Limited,Lagos,"18th December, 2020"
229,Experienced Chef,Hospitality / Food Services,Chibeco Oil and Gas,Rivers (PH),"18th December, 2020"
